Date,Location,Dead,Injured,Total,Description
"January 1, 2019","Columbia, South Carolina",0,5,5,Five people were shot and wounded outside of a nightclub around 6am local time.[316]
"January 1, 2019","Tallahassee, Florida",0,5,5,Five people were shot and wounded around 3am local time at the University Village Shopping Center.[317]
"January 2, 2019","Jonesboro, Arkansas",1,3,4,A 16-year-old boy was killed and three others were wounded during a home invasion.[315]
"January 3, 2019","Texas City, Texas",3,1,4,Three children under the age of six were found deceased along with a wounded woman in an apparent home invasion.[314]
"January 4, 2019","Hurt, Virginia",3[n 1],2,5,A man killed his wife and son in their home and injured two people who were inside a vehicle before killing himself.[311]
"January 4, 2019","Houston, Texas",1[n 1],3,4,A man injured his brother and two friends before being killed by a police officer.[312]
"January 4, 2019","Torrance, California",3,4,7,"An argument at the Torrance bowling alley escalated into a fight and three people were killed by gunshots, at least four others were wounded. A suspect who was out of prison on parole has been arrested.[313]"
"January 6, 2019","Roswell, New Mexico",0,4,4,A man injured four people in a shooting following an argument at a party. He was arrested the same day.[310]
"January 13, 2019","Phoenix, Arizona",1,5[n 1],6,"An argument at a motel escalated into a shooting. One person was killed, and five others were injured.[309]"
"January 15, 2019","Little Rock, Arkansas",1,4[n 1],5,"An argument over a gun inside a local ice cream shop led to a shooting. One man was killed and four others, including the suspected shooter, were injured.[308]"
"January 16, 2019","Jacksonville, Florida",1,5,6,"A man was killed and five other people were injured in a shooting. The Mayor of Jacksonville described the shooting as gang-related, although this characterization has been disputed by the sister of the deceased man.[306]"
"January 16, 2019","Palmdale, California",3,1,4,Three people were killed and another one was wounded in a shooting.[307]
"January 17, 2019","Owensboro, Kentucky",3,1,4,Three people were killed and another person was wounded in a shooting at a home. Two men were arrested in relation to the shooting.[305]
"January 19, 2019","Gaffney, South Carolina",1,4,5,One person was killed and four others were wounded in a shooting at a nightclub.[300]
"January 19, 2019","Jacksonville, Florida",3[n 1],2,5,A man killed two people and injured two more before killing himself.[301]
"January 19, 2019","Lebanon, Pennsylvania",0,4,4,"In an apparent targeted shooting, four individuals were discovered shot in a building.[302]"
"January 19, 2019","Chicago, Illinois",0,4,4,"Early in the morning, three women and a man were involved in a fight and were injured in the ensuing shooting.[303]"
"January 19, 2019","Houston, Texas",3,2,5,Three people were killed and two more were injured by a homeowner in a possible attempted home invasion.[304]
"January 20, 2019","Miami, Florida",0,4,4,Three adults and a child were wounded in a shooting while attending a block party.[299]
"January 23, 2019","Sebring, Florida",5,0,5,2019 Sebring shooting: At least five people were killed in a hostage incident and shooting at a bank. The suspect was taken into custody by police.[298]
"January 24, 2019","State College, Pennsylvania",4[n 1],1,5,"A man killed two people and injured one inside a local bar, then drove away and broke into a home and killed the homeowner before killing himself.[296]"
"January 24, 2019","Rockmart, Georgia",4,1,5,A man killed four individuals and injured another in two separate shootings.[297]
"January 26, 2019","Newark, New Jersey",1,3,4,"A gunman opened fire on individuals attending a candlelight vigil, killing one, and wounding three others.[291]"
"January 26, 2019","Indianapolis, Indiana",0,5,5,"A man was asked to leave a bar; shortly after, he came back and shot five people, critically wounding two.[292]"
"January 26, 2019","Albany, Georgia",0,4,4,"Two people were found with bullet wounds in front of a residence, and two more arrived at a hospital with gunshot injuries from the same shooting.[293]"
"January 26, 2019","Ascension Parish and Livingston Parish, Louisiana",5,0,5,"January 2019 Louisiana shootings: A 21-year-old man killed five people, including his parents, in two parishes in Louisiana.[294]The suspect fled to Virginia and was arrested the next day.[295]"
"January 27, 2019","Birmingham, Alabama",0,5,5,"Police responded to a call and discovered five people with gunshot wounds, along with two of the victims sustaining life-threatening injuries.[290]"
"January 28, 2019","Houston, Texas",2,4,6,Pecan Park Raid: Four police officers were shot while serving a warrant in southeast Houston. The two homeowners were killed.[289]
"February 1, 2019","San Diego, California",0,4,4,A fight broke out at a house party and shots were fired; four people were wounded.[288]
"February 3, 2019","Chicago, Illinois",2,5,7,"Around 2am local time, two people were killed and five people were wounded in a drive-by shooting after a fight outside of a club.[287]"
"February 4, 2019","Washington DC, District of Columbia",0,5,5,Four men and an elementary-school-age girl were injured in a shooting at a bus stop.[285]
"February 4, 2019","Baton Rouge, Louisiana",0,4,4,Four people were wounded in an early morning shooting.[286]
"February 5, 2019","San Antonio, Texas",2,2,4,"A man and woman were killed and two others injured after the shooter kicked open an apartment door and shot inside, before fleeing.[284]"
"February 6, 2019","Brooklyn, New York",1,3,4,A man was killed and three others were injured after a shooting in the lobby of an apartment building around 10:30pmET.[282]
"February 6, 2019","Cleveland, Ohio",1,3,4,One man was killed and three others were injured after a shooting broke out in Cleveland'sClark–Fulton neighborhood.[283]
"February 9, 2019","Petersburg, Virginia",0,4,4,Four people were injured in a shooting outside of an apartment complex.[281]
"February 11, 2019","Livingston, Texas",5,0,5,"A family member heard sounds of gunfire, and upon investigation, found four adults and one toddler deceased.[280]"
"February 14, 2019","Jacksonville, Florida",2,2,4,"After a fight broke out near a basketball court at a park, multiple people started shooting at each other. Two people were killed, and two were wounded.[279]"
"February 15, 2019","Aurora, Illinois",6[n 1],6,12,"Aurora, Illinois shooting: A man opened fire in his workplace, killing five employees, and injuring five police officers and a civilian before being killed by police.[278]"
"February 16, 2019","Clinton, Mississippi",4,0,5,"Police responded to a domestic dispute at a residence; upon arrival, the suspect fired shots at officers leading to a 12-hour hostage standoff. Four people were killed, and the suspect was taken into custody and later died.[277]"
"February 17, 2019","Evansville, Indiana",0,5,5,Five people were wounded after shots were fired outside of a bar. Two suspects were taken into custody by police.[274]
"February 17, 2019","Henderson, Texas",2,2,4,"Two people were wounded and two were killed in a shooting at an apartment complex. The suspect was later arrested in Bienville Parish, Louisiana.[275]"
"February 17, 2019","New Orleans, Louisiana",1[n 1],5,6,"After police attempted to arrest a suspect, a gunfight broke out, and led to one person being killed and five being wounded.[276]"
"February 18, 2019","Solon Township, Michigan",4[n 1],0,4,"A 28-year-old woman killed her three children, ages 8, 6 and 2, before killing herself.[271][272][273]"
"February 20, 2019","Covington, Tennessee",0,4,4,Three adults and a teenager were injured inside a home in a presumed targeted shooting.[270]
"February 21, 2019","Elizabethtown, Kentucky",2,2,4,Two people were killed and two others were found wounded in two separate shootings believed to be perpetrated by the same man.[267]
"February 21, 2019","Baltimore, Maryland",1,4,5,"Officers on patrol responded to gunshots, and upon investigation discovered a deceased male and four wounded victims.[268]"
"February 21, 2019","Houston, Texas",2,2,4,A gunman perched on the roof of a home killed two and wounded two after an argument led to the incident.[269]
"February 22, 2019","Birmingham, Alabama",2,2,4,Two people were killed and two were injured in a shooting at a party in a home.[266]
"February 28, 2019","Oakland, California",1,4,5,One person was killed and four others were wounded in a shooting near a gas station.[265]
"March 2, 2019","Pine Bluff, Arkansas",1,4,5,One person was killed and four other were wounded at a party when shots were fired into a home.[264]
"March 3, 2019","Oakland, California",0,4,4,Four people were injured in a shooting at a sports bar following a fight.[262]
"March 3, 2019","Chicago, Illinois",0,6,6,Six people were injured in a shooting at a bar following a fight.[263]
"March 10, 2019","Denver, Colorado",1,4,5,"A conflict between two individuals escalated into a shooting; one man was killed, and four others were injured.[260]"
"March 10, 2019","Shreveport, Louisiana",0,4,4,Three children and one adult were wounded in a drive-by shooting.[261]
"March 11, 2019","Paterson, New Jersey",0,4,4,Four men were wounded in a shooting inside of a local liquor store.[259]
"March 13, 2019","Harvey, Illinois",1,3,4,One person was killed and three were wounded after gunfire erupted in a nightclub.[258]
"March 14, 2019","Missoula, Montana",1,3,4,"One person was fatally shot and three others were wounded, including aMontana Highway Patrol trooper following a road rage incident.[257]"
